Species,Group,Log10Mass,ABS-Latitude,ABS-Longitude,PC1,PC2,PC3,PC4
Acinonyx_jubatus,4,4.703960965,5.848571414,25.21582069,-0.0696,-0.0551,-0.0495,-0.0797
Catopuma_temminckii,4,3.887980561,19.26680143,68.34421857,0.0247,-0.0217,-0.0388,0.00623
Felis_catus,4,3.460115709,15.48567732,38.66752237,-0.0649,-0.0425,-0.0502,-0.0798
Felis_chaus,4,3.854791087,32.10132384,36.4002902,-0.0434,-0.0493,-0.0412,-0.0673
Felis_margarita,4,3.450766258,20.72685412,26.61461118,-0.0222,-0.0371,-0.0186,-0.0956
Felis_nigripes,4,3.134422564,28.986674,22.531338,-0.00371,-0.0198,-0.0197,-0.0642
Felis_silvestris,4,3.660208799,47.305371,9.0346616,-0.0121,-0.0268,-0.0458,-0.0786
Herpailurus_yaguarondi,4,3.837272703,26.38256872,56.44483721,-0.00113,-0.0537,-0.0457,-0.0489
Leopardus_colocolo,4,3.698970004,26.57520313,67.85273487,-0.0016,-0.0271,-0.0312,-0.0181
Leopardus_geoffroyi,4,3.681241237,19.37705632,40.95257402,-0.0206,-0.0115,-0.0278,-0.0499
Leopardus_guigna,4,3.352182518,23.91841358,42.92580552,-0.0234,-0.0623,-0.0371,-0.0414
Leopardus_pardalis,4,4.074816441,16.75509118,58.19979559,-0.0162,-0.0679,-0.0584,-0.048
Leopardus_tigrinus,4,3.397940009,8.075338333,65.42270438,-0.0183,-0.0129,-0.0707,-0.0439
Leopardus_wiedii,4,3.514655317,9.970445545,88.25346575,-0.00958,-0.0187,-0.0623,-0.016
Leptailurus_serval,4,4.079179798,0.721234242,21.3450797,-0.0431,-0.0897,-0.0463,-0.0435
Lynx_canadensis,4,3.986001859,59.07235117,130.6757584,0.0017,-0.0289,-0.0337,-0.0634
Lynx_lynx,4,4.285557309,64.4513011,15.0600801,-0.00855,-0.0472,-0.0417,-0.0568
Lynx_pardinus,4,4.043362278,38.82232429,4.947643878,0.00286,-0.0164,-0.0627,-0.0419
Lynx_rufus,4,3.804444082,35.09115907,103.7839667,-0.0304,-0.0672,-0.0535,-0.0766
Neofelis_nebulosa,4,4.174497372,23.11221943,2.614717715,0.0344,-0.0321,-0.0726,-0.0336
Otocolobus_manul,4,3.484299839,0,0,-0.0181,-0.0778,-0.0437,-0.0578
Panthera_leo,4,5.200368706,9.798893367,28.66673194,-0.063,-0.0821,-0.0414,-0.0367
Panthera_onca,4,4.923984952,14.74710383,57.21530904,-0.0212,-0.0737,-0.00998,-0.0297
Panthera_pardus,4,4.719331204,6.117850952,34.53098988,-0.00849,-0.0605,-0.0216,-0.083
Panthera_tigris,4,5.209286172,28.7640597,81.44247232,-0.0332,-0.0861,-0.0344,-0.0716
Pardofelis_marmorata,4,3.451276646,8.3083325,105.895835,-0.0336,-0.0822,-0.0527,-0.0591
Prionailurus_bengalensis,4,3.444196304,14.47388477,109.4093732,0.016225,-0.04295,-0.0261,-0.039
Prionailurus_planiceps,4,3.54823705,2.492578182,88.68424182,0.0331,-0.0202,-0.0823,0.0249
Prionailurus_rubiginosa,4,3.151905875,12.920737,101.5190608,-0.0511,0.00701,-0.0264,-0.0204
Prionailurus_viverrinus,4,3.945786557,11.78611167,66.46249917,-0.0372,-0.1,-0.0691,-0.00963
Profelis_aurata,4,4.052200127,1.497413077,20.92572538,-0.0322,-0.0496,-0.0238,-0.0532
Puma_concolor,4,4.73202405,28.78917883,108.8397534,-0.0481,-0.0666,-0.0284,-0.0642
Uncia_uncia,4,4.511883361,10.82862217,9.033121511,0.0224,-0.0469,-0.0105,-0.0827
